name,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
Juan Carlos Gonzalez Zamora,0,Mexico,82,2014,2023,2539,2586,2022,26,3,8,2450,2553,2021,105,7,39,2679,2688,2021,223,10,112,2702,2023,48,FALSE,premium,Stone
worldwar66,0,India,16,2020,2023,2478,2505,2020,2,0,2,2776,2791,2023,263,47,240,2530,2798,2020,113,10,103,2737,2023,35,FALSE,premium,Crystal
Eric Lobron,0,Germany,62,2014,2023,2408,2408,2021,1,0,0,2748,2820,2020,6350,898,5573,2504,2563,2020,9,1,12,2506,2021,0,FALSE,premium,Elite
Karthikeyan Murali,0,India,714,2015,2023,2606,2711,2020,19,16,11,2863,2890,2020,543,57,265,2894,3011,2021,707,102,611,1200,2022,216,FALSE,premium,Stone
ItachiUchiha999,0,India,60,2020,2023,2632,2632,2021,14,0,0,2865,2961,2023,87,6,49,2695,2854,2021,57,12,77,3720,2023,65,FALSE,premium,Bronze
Dmitriy Bocharov,0,Russia,340,2017,2023,2307,2517,2020,5,3,1,2761,2919,2020,2423,375,1692,2542,2814,2018,72,7,55,2962,2019,55,FALSE,premium,Crystal
Davit Jojua,0,Georgia,138,2018,2023,2471,2713,2022,13,4,6,2694,2846,2021,68,18,26,2806,2806,2021,19,5,6,2757,2023,43,FALSE,premium,Stone
Denes Boros,0,United States,214,2016,2023,2587,2587,2023,1,0,0,2898,2925,2021,3219,409,1937,2888,2963,2020,1972,169,1019,1225,2020,52,FALSE,premium,Champion
Bornio,0,United States,10,2019,2023,2477,2468,2023,86,11,16,2933,2947,2023,268,55,94,2704,2704,2023,67,5,24,3653,2023,69,FALSE,premium,Elite
A.A AL,0,Qatar,99,2021,2022,2638,2702,2022,1088,196,489,2630,2634,2022,200,9,77,2624,2648,2022,129,5,33,800,2021,64,FALSE,premium,Champion
Aravindh Chithambaram,0,India,542,2019,2023,2780,2842,2020,21,4,6,2946,2952,2020,674,111,310,2831,3045,2021,720,70,571,2465,2019,74,FALSE,premium,Stone
