name,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
Alexander Donchenko,2668,Germany,501,2013,2023,2624,2789,2020,66,15,29,2862,2928,2022,2186,415,1120,2699,2901,2021,978,91,513,3442,2022,73,FALSE,premium,Crystal
Gadir Guseinov,2665,Azerbaijan,403,2012,2023,2533,2771,2020,176,70,41,2805,2967,2020,364,88,121,2941,3028,2019,156,28,113,2661,2023,44,FALSE,premium,Elite
Nijat Abasov,2664,Azerbaijan,150,2019,2023,2321,2609,2020,9,0,5,2937,3024,2022,289,77,156,2891,3080,2022,131,7,72,3572,2023,77,FALSE,premium,Silver
Hrant Melkumyan,2663,Armenia,834,2016,2023,2562,2947,2020,41,13,26,2910,3085,2020,3487,813,2331,2961,2961,2020,171,19,94,2924,2018,48,FALSE,premium,Silver
Adhiban Baskaran,2663,India,1637,2014,2023,2691,2863,2020,21,12,14,3004,3032,2023,546,160,461,2918,2945,2023,451,56,444,1213,2019,52,TRUE,premium,Crystal
Gata Kamsky,2660,United States,1800,2016,2023,2686,2693,2023,238,142,70,3010,3034,2023,3450,1117,1191,2763,2863,2022,255,41,227,1914,2021,62,TRUE,premium,Champion
Ivan Saric,2660,Croatia,923,2012,2023,2712,2870,2019,31,21,17,2820,3016,2019,1992,656,1527,3098,3109,2021,221,21,125,3526,2022,60,FALSE,premium,Silver
Julio Sadorra,2660,Philippines,248,2015,2022,2662,2662,2020,3,1,1,2714,2774,2022,886,46,838,2585,2585,2021,2,0,0,5377,2019,47,TRUE,premium,Bronze
Robin van Kampen,2658,United States,351,2012,2023,2660,2660,2021,3,0,0,2794,2960,2020,2250,488,1705,2855,2888,2020,648,66,376,2548,2023,47,FALSE,premium,Elite
Kirill Shevchenko,2655,Romania,905,2016,2023,2631,2810,2020,48,21,14,2990,3038,2023,1227,285,717,2928,2960,2020,1219,211,1052,4195,2019,74,FALSE,premium,Crystal
Anton Demchenko,2654,Russia,2299,2014,2023,2465,2835,2020,156,44,124,2908,3030,2020,4059,869,3001,2766,2828,2018,381,47,376,3238,2023,49,FALSE,premium,Elite
Victor Bologan,2654,Moldova,321,2014,2023,2542,2581,2021,12,5,8,2728,2932,2022,2843,455,2666,2421,2636,2017,2204,204,2028,3778,2023,68,FALSE,premium,Champion
Georg Meier,2653,Uruguay,1056,2013,2023,2676,2924,2019,64,40,31,2916,3059,2020,3592,1061,1972,2734,3023,2016,4230,578,2377,2791,2014,39,FALSE,premium,Crystal
Eduardo Iturrizaga,2652,Spain,1127,2015,2023,2725,2772,2022,65,38,21,2884,2990,2019,563,85,310,2920,3036,2020,501,45,369,2640,2022,54,FALSE,premium,Crystal
Rasmus Svane,2651,Germany,2231,2016,2023,2588,2632,2022,495,58,103,2962,3058,2023,3254,644,1309,2999,3104,2023,6901,571,2127,3639,2022,72,FALSE,premium,Legend
aggy67,2650,United States,34,2013,2023,2257,2602,2017,1,0,0,2421,2597,2014,21,5,16,2416,2632,2014,7,0,71,1449,2023,11,FALSE,premium,Wood
Sergei Matsenko,2650,United States,182,2017,2023,2500,2500,2020,1,0,0,2822,2871,2022,3516,696,2210,2845,2856,2023,669,83,438,3082,2020,49,FALSE,premium,Silver
Aryan Tari,2650,Norway,1184,2012,2023,2510,2686,2022,37,27,35,2909,3005,2022,3370,582,2197,3140,3218,2023,212,40,214,3245,2023,72,FALSE,premium,Crystal
Sethuraman S.P,2649,India,239,2016,2023,2534,2673,2019,10,13,8,2803,2950,2022,1897,333,1236,2660,2693,2018,256,27,174,2956,2019,63,FALSE,premium,Silver
Elshan Moradiabadi,2649,United States,819,2012,2023,2706,2832,2023,29,17,8,2784,2924,2021,1567,382,923,2758,2840,2020,415,51,242,3150,2020,55,FALSE,premium,Silver
Sasikiran Krishnan,2647,India,268,2019,2023,2490,2829,2020,30,21,26,2944,2958,2023,2078,559,1818,2766,2860,2023,1360,184,1208,3584,2022,55,FALSE,premium,Crystal
Grzegorz Gajewski,2646,Poland,389,2015,2023,2443,2756,2020,8,1,9,2788,2892,2021,3524,547,2499,2596,2819,2020,292,37,235,3721,2022,50,FALSE,premium,Silver
Gregory Kaidanov,2645,United States,221,2009,2023,2526,2595,2023,5,2,5,2669,2741,2021,74,8,54,1746,1854,2014,2,0,3,3074,2023,91,FALSE,premium,Wood
Maksim Chigaev,2643,International,324,2015,2023,2602,2770,2020,63,36,38,2947,3036,2022,2185,455,1115,3016,3054,2023,353,60,269,4188,2020,67,TRUE,premium,Crystal
Ahmed Adly,2643,Egypt,440,2018,2023,2720,2720,2021,10,2,3,2908,2968,2020,508,65,269,2826,3020,2022,673,81,485,3256,2022,62,FALSE,premium,Silver
Yuriy Kuzubov,2642,Ukraine,203,2016,2023,2495,2607,2023,54,18,17,2924,2966,2020,1245,268,851,2808,2797,2016,29,7,30,2691,2022,74,FALSE,premium,Bronze
Fidel Corrales Jimenez,2640,United States,3602,2014,2023,2158,2539,2019,7,5,5,2866,2972,2019,7947,1306,7591,2755,2880,2022,1485,134,1600,3856,2023,51,TRUE,premium,Champion
Andriy Vovk,2640,Ukraine,749,2012,2023,2639,2639,2022,11,0,0,2393,2608,2013,104,19,70,2836,2836,2020,298,23,179,3366,2022,50,FALSE,premium,Wood
ZURAB AZMAIPARASHVILI,2637,Georgia,148,2019,2023,1926,2454,2021,3,4,7,2704,2989,2020,94,18,61,2748,2815,2022,33569,4888,24635,4538,2020,54,FALSE,premium,Champion
Haik Martirosyan,2635,Armenia,768,2017,2023,2603,2698,2022,47,20,24,2973,3117,2020,2302,394,1271,2982,3206,2020,12910,1395,9685,2411,2020,49,FALSE,premium,Crystal
Benjamin Bok,2635,Netherlands,7052,2010,2023,2598,2715,2020,409,85,75,2972,3045,2023,4027,853,1652,2944,3060,2023,603,58,517,3313,2023,247,TRUE,premium,Legend
Sandro Mareco,2634,Argentina,585,2014,2023,2535,2832,2019,25,12,11,2863,2923,2020,743,164,560,2515,2394,2019,29,1,18,3040,2023,69,FALSE,premium,Silver
Arunprasad Subramanian,2634,United States,341,2007,2023,2123,2123,2020,4,1,3,2785,2789,2019,138,12,49,2547,2659,2019,845,86,621,2793,2019,46,FALSE,premium,Wood
Daniel Fridman,2631,Germany,30,2017,2023,2624,3008,2019,19,14,7,2838,2957,2023,167,21,92,2682,2579,2020,47,3,19,1209,2022,49,FALSE,premium,Wood
Yuniesky Quesada,2630,United States,1579,2016,2023,2669,2815,2022,67,4,1,2879,2965,2022,6360,1411,4921,2626,2845,2022,448,49,361,3397,2023,61,FALSE,premium,Elite
Mustafa Yilmaz,2630,Turkey,4880,2014,2023,2559,2777,2022,23,5,24,2836,3010,2021,2852,454,1806,2855,2980,2022,332,35,214,3329,2022,56,FALSE,premium,Crystal
Vitaliy Bernadskiy,2629,Ukraine,549,2015,2023,2594,2626,2023,41,24,30,2860,2946,2020,4819,935,3441,2676,2881,2020,305,32,185,2927,2023,47,FALSE,premium,Elite
Priyadharshan Kannappan,2627,India,360,2012,2023,2471,2623,2019,8,1,0,2687,2807,2019,1651,367,1206,2786,2803,2021,1727,297,1037,3003,2022,50,FALSE,premium,Stone
Daniil Dubov,2627,Russia,6012,2012,2023,2681,2940,2020,93,100,55,3088,3144,2023,4818,1133,2529,3120,3136,2022,2145,270,1589,2761,2022,76,FALSE,premium,Crystal
Dragan Solak,2626,Turkey,541,2017,2023,2512,2679,2020,10,8,3,2515,2941,2019,1430,435,1025,2534,2769,2018,471,78,300,2513,2023,64,FALSE,premium,Silver
Samvel Ter-Sahakyan,2624,Armenia,1157,2017,2023,2610,2635,2022,133,49,44,2847,2975,2020,1315,441,889,2904,2949,2021,128,26,107,3444,2023,78,FALSE,premium,Champion
Karen Grigoryan,2621,United States,5045,2020,2023,2149,2820,2020,97,2,5,2953,2953,2023,468,18,43,2902,2934,2023,268,17,53,3012,2023,62,FALSE,premium,Bronze
Nodirbek Yakubboev,2621,Uzbekistan,269,2018,2021,2562,2826,2020,23,10,10,3001,3001,2021,245,48,126,2986,3021,2021,76,6,31,2201,2019,49,FALSE,premium,Wood
Jose Eduardo Martinez Alcantara,2620,Mexico,14624,2016,2023,2700,2744,2020,337,137,107,3025,3121,2021,12799,2335,6154,3145,3231,2023,5914,704,3466,4178,2022,93,TRUE,premium,Legend
Jan Smeets,2620,Netherlands,27,2012,2023,2587,2717,2021,5,4,3,2706,2763,2022,326,38,260,3034,3034,2020,102,11,54,2734,2021,47,FALSE,premium,Stone
Nihal Sarin,2620,Chile,12921,2012,2023,2751,2790,2022,146,51,63,3058,3277,2023,11807,2187,6781,3191,3402,2021,11028,1404,5871,3447,2023,67,TRUE,premium,Elite
Ivan Salgado,2619,Spain,87,2013,2023,2458,2536,2023,7,5,13,2783,2965,2022,435,94,337,2734,2776,2019,10,0,6,3314,2022,57,FALSE,premium,Silver
Frederik Svane,2618,Germany,224,2017,2023,2451,2545,2022,222,22,37,2949,3010,2023,3142,668,1885,2944,3004,2022,1285,147,858,3913,2022,80,FALSE,premium,Champion
Johan-Sebastian Christiansen,2618,Cayman Islands,175,2015,2023,2530,2805,2019,11,2,10,2802,2902,2021,1092,187,800,2848,2965,2022,1342,175,1082,2772,2018,50,FALSE,premium,Silver
Andrey Gorovets,2616,United States,1929,2008,2023,941,2763,2020,553,1150,76,2836,2928,2023,9023,2438,7404,2442,2804,2020,859,72,607,3226,2023,59,FALSE,premium,Champion
Sam Shankland,2616,United States,1736,2009,2023,2561,2777,2020,18,10,8,2872,3016,2022,756,212,423,2686,2729,2019,321,34,240,3179,2013,63,FALSE,premium,Silver
Arturs Neiksans,2615,Latvia,1745,2012,2023,2484,2742,2020,17,5,5,2802,2948,2019,2352,509,1443,2729,2883,2021,366,31,207,4080,2021,104,TRUE,premium,Champion
Abhijeet Gupta,2612,India,782,2020,2023,2459,2600,2021,10,5,10,2981,2991,2021,920,202,863,2679,2849,2021,120,15,108,3069,2021,65,FALSE,premium,Elite
Samy Shoker,2610,Egypt,2279,2014,2023,2409,2419,2023,5,4,3,2709,2919,2023,6455,1484,6086,2686,2717,2022,89,6,63,3107,2023,52,FALSE,premium,Crystal
Eric Hansen,2609,Canada,14206,2008,2023,2530,2805,2019,58,25,43,2852,3042,2020,6960,765,3443,2970,3265,2021,8822,555,5222,2793,2015,49,TRUE,premium,Champion
Raunak Sadhwani,2609,India,1090,2019,2023,2717,2718,2023,67,39,29,2991,3105,2023,1459,417,826,2906,3218,2023,3878,513,2790,3723,2022,77,TRUE,premium,Elite
Raunak Sadhwani,2609,India,1100,2016,2023,2664,2784,2019,74,48,47,2974,3056,2023,3989,1324,2996,3066,3177,2021,3453,438,2223,3544,2022,63,TRUE,premium,Elite
Kacper Piorun,2609,Poland,261,2010,2023,2349,2800,2020,12,10,23,2875,2994,2022,1598,312,749,2841,2994,2022,1401,106,452,3900,2023,71,FALSE,premium,Champion
Mateusz Bartel,2609,Poland,278,2014,2023,2436,2636,2020,22,20,22,2810,2926,2023,2526,587,1943,2909,2909,2023,213,32,207,4024,2019,51,TRUE,premium,Champion
Praggnanandhaa Rameshbabu,2608,India,4861,2016,2023,2664,2735,2023,68,31,30,2972,3018,2022,1012,197,747,2770,3041,2021,2468,320,2302,4220,2020,65,FALSE,premium,Crystal
Vladimir Baklan,2607,Ukraine,193,2019,2023,2665,2692,2022,71,25,12,2694,2799,2021,273,69,111,2870,2903,2020,12,2,7,3338,2022,45,TRUE,premium,Stone
Christopher Woojin Yoo,2607,Papua New Guinea,2843,2013,2023,2609,2871,2020,258,76,113,2994,3043,2022,5473,1023,2808,2958,3076,2023,1567,266,1022,3618,2023,67,FALSE,premium,Champion
Raset Ziatdinov,2605,Uzbekistan,72,2015,2023,2098,2361,2021,72,9,29,2339,2453,2022,1200,129,639,2179,2344,2021,692,61,369,3066,2022,55,FALSE,premium,Champion
Oleksandr Bortnyk,2605,United States,8333,2016,2023,2616,2939,2020,212,59,92,3030,3109,2023,6035,875,1909,3241,3367,2021,10734,1153,5868,4012,2023,58,TRUE,premium,Legend
Evgenij Miroshnichenko,2604,Micronesia,404,2015,2022,2482,2606,2019,6,1,3,2559,2737,2019,1356,193,405,2515,2515,2021,107,5,11,3717,2020,87,TRUE,premium,Wood
Yasser Quesada Perez,2604,Cuba,499,2016,2023,2388,2450,2020,11,8,12,2820,2991,2020,720,121,394,2589,2619,2020,48,9,17,3398,2023,41,FALSE,premium,Crystal
Gabor Papp,2603,Hungary,28,2016,2023,2342,2582,2020,11,0,6,2676,2676,2023,94,14,47,2562,2412,2017,3,0,2,2033,2018,47,FALSE,premium,Stone
Luis Paulo Supi,2603,Brazil,7983,2013,2023,2539,2759,2020,18,7,8,2931,3051,2020,5389,1174,3800,2827,2971,2020,353,50,271,2892,2015,49,TRUE,premium,Champion
Shamsiddin Vokhidov,2601,Uzbekistan,768,2019,2023,2623,2696,2020,125,47,68,2926,3017,2022,1872,491,1283,2878,3026,2021,554,73,322,3818,2023,72,FALSE,premium,Champion
Zahar Efimenko,2601,Ukraine,118,2020,2023,2579,2735,2020,24,13,6,2718,2806,2021,237,68,153,2647,2647,2020,5,2,6,2739,2022,38,FALSE,premium,Stone
Evgeny Postny,2600,Israel,57,2014,2023,2437,2719,2020,23,5,16,2750,2815,2023,589,120,293,2353,2203,2017,2,0,0,3737,2020,48,FALSE,premium,Silver
Daniel Naroditsky,2600,United States,25031,2009,2023,2555,2919,2019,23,14,13,3141,3249,2023,21375,4402,10520,3268,3553,2020,29064,3259,14034,2890,2023,82,TRUE,premium,Champion
Pavel Smirnov,2600,Russia,147,2015,2023,2634,2679,2023,28,12,9,2722,2917,2021,1095,252,648,2456,2628,2021,11,0,12,3652,2016,47,FALSE,premium,Bronze
Benjamin Gledura,2600,Hungary,188,2013,2023,2594,2860,2021,73,46,54,2911,2991,2020,1283,286,1152,2833,2802,2020,122,21,88,3327,2019,48,FALSE,premium,Elite
Boris Avrukh,2600,United States,135,2013,2023,2598,2598,2020,5,0,0,2808,2808,2020,295,57,121,2483,2410,2014,27,3,25,2609,2019,44,FALSE,premium,Wood
Sergey Shipov,2600,Russia,1206,2016,2023,2547,2547,2020,1,0,0,2726,2850,2021,587,101,261,2805,2873,2020,393,35,212,2901,2020,51,FALSE,premium,Stone
Alex Fier,2600,Brazil,1373,2013,2023,2512,2589,2020,79,40,55,2771,2890,2019,1685,361,1110,2670,2839,2020,198,18,144,3601,2022,62,TRUE,premium,Crystal
Suat Atalik,2599,Serbia,207,2011,2023,2505,2834,2020,151,48,36,2712,2744,2022,626,88,63,2667,2698,2022,126,27,19,3448,2014,44,FALSE,premium,Elite
Vaibhav Suri,2599,India,59,2019,2023,2532,2776,2020,15,8,17,2725,2914,2019,744,188,623,2651,2865,2022,279,44,240,3656,2023,66,FALSE,premium,Crystal
Harsha Bharathakoti,2599,India,283,2017,2023,2430,2595,2022,26,11,26,2849,2928,2022,1637,299,949,2905,3037,2021,415,39,261,4455,2018,59,FALSE,premium,Elite
Dejan Bojkov,2597,Bulgaria,1167,2010,2023,2257,2257,2023,5,0,0,2395,2446,2012,265,26,85,2593,2459,2012,324,20,76,2855,2020,60,FALSE,premium,Wood
Konstantin Tarlev,2596,Ukraine,94,2013,2023,2648,2648,2023,1,0,0,2877,2877,2023,189,26,80,2648,2525,2018,48,2,15,3073,2017,57,FALSE,premium,Silver
Alejandro Ramirez,2595,United States,296,2010,2023,2420,2658,2020,5,0,1,2725,2921,2021,1193,267,968,2829,2905,2020,1880,213,1319,3152,2021,46,FALSE,premium,Silver
Andrey Stukopin,2595,United States,434,2016,2023,2593,2596,2017,2,0,0,2687,2739,2020,301,42,218,2616,2616,2020,24,4,18,3304,2022,48,FALSE,premium,Wood
Mikhail Antipov,2594,United States,145,2016,2023,2593,2624,2023,121,41,60,2903,3017,2019,2370,336,1406,2872,3012,2021,457,41,274,3817,2019,62,FALSE,premium,Elite
Sergei Azarov,2594,International,393,2016,2023,2560,2660,2020,37,26,30,2768,2921,2019,2330,467,2376,2677,2610,2020,568,51,635,3499,2020,45,FALSE,premium,Crystal
GN Gopal,2593,India,14,2009,2023,2593,2593,2020,1,0,0,2600,2696,2022,27,3,6,2281,2401,2020,3,0,1,2810,2022,60,FALSE,premium,Silver
Erik Van den Doel,2593,Netherlands,16,2018,2023,2442,2475,2021,4,1,4,2799,2876,2022,24,15,14,2487,2758,2021,11,2,9,3402,2022,26,FALSE,premium,Stone
Anton Filippov,2592,Kazakhstan,107,2017,2023,1974,1974,2020,6,1,0,2839,2861,2023,501,91,343,2385,2568,2020,19,3,18,3197,2023,48,FALSE,premium,Crystal
Rafael Leitao,2592,Brazil,4774,2014,2023,2323,2659,2020,9,1,2,2777,2803,2023,721,193,404,2636,2711,2023,100,12,79,2376,2022,60,TRUE,premium,Silver
Nikolay Chadaev,2591,International,457,2015,2023,2246,2591,2020,3,1,1,2865,2984,2022,721,114,336,2625,2587,2017,84,9,45,2606,2017,48,FALSE,premium,Bronze
Miguel Santos Ruiz,2591,Spain,834,2015,2023,2537,2797,2022,25,22,19,2751,2878,2022,402,62,206,2798,2907,2021,227,27,127,2420,2016,49,TRUE,premium,Silver
Marcin Dziuba,2590,Poland,91,2016,2023,2477,2557,2020,26,3,8,2635,2730,2019,421,81,301,2633,2483,2017,45,4,21,3805,2023,60,FALSE,premium,Bronze
Yusnel Bacallao Alonso,2590,Cuba,141,2019,2023,2480,2713,2020,24,9,5,2773,2870,2022,343,69,207,2750,2662,2019,415,25,182,3586,2022,61,FALSE,premium,Bronze
Viorel Iordachescu,2589,Moldova,170,2017,2023,2435,2690,2020,7,2,3,3142,3150,2022,784,132,506,3121,3158,2022,30,2,33,3509,2022,63,FALSE,premium,Crystal
Rogelio Jr Antonio,2589,Philippines,2178,2009,2023,2398,2558,2022,289,104,56,2631,2890,2023,39863,4156,27648,2425,2972,2011,58921,2636,36057,3503,2022,30,FALSE,premium,Legend
Wojciech Moranda,2589,Poland,263,2017,2023,2192,2605,2020,3,0,3,2978,3069,2023,437,71,239,2864,2945,2020,350,43,252,3177,2019,46,FALSE,premium,Silver
Vladimir Belous,2588,United States,219,2016,2023,2340,2787,2021,49,1,12,2847,2907,2023,1066,167,627,2811,2903,2021,964,80,686,3732,2023,59,FALSE,premium,Crystal
Pouya Idani,2588,Iran,333,2016,2023,2486,2662,2020,8,5,4,2702,2848,2020,313,56,187,2801,2885,2021,57,9,54,2950,2022,64,FALSE,premium,Silver
Sipke Ernst,2587,Netherlands,158,2009,2023,2187,2187,2021,24,4,15,2633,2759,2021,240,52,154,2696,2546,2019,15,0,3,3105,2019,65,FALSE,premium,Bronze
Humpy Koneru,2586,India,1112,2014,2022,2342,2719,2020,24,16,13,2689,2712,2022,47,23,52,2598,2649,2021,19,12,23,2791,2022,62,FALSE,premium,Wood
Akshayraj Kore,2585,United States,117,2011,2023,2215,2215,2023,11,0,1,2709,2811,2023,5677,863,3862,2583,2610,2022,109,11,64,3472,2023,33,FALSE,premium,Legend
Ronen Har-Zvi,2584,Israel,59,2010,2023,2408,2637,2022,10,4,6,2692,2917,2020,190,25,65,2764,2771,2023,97,8,59,1741,2023,57,FALSE,premium,Silver
Nikita Meshkovs,2582,Latvia,558,2013,2023,2496,2608,2020,15,3,9,2742,2932,2019,5607,814,4340,2812,2892,2022,1035,151,848,4255,2019,53,FALSE,premium,Crystal
Aleksandra Goryachkina,2582,Russia,509,2016,2023,2552,2695,2020,11,5,2,2659,2744,2023,676,261,378,2650,1969,2020,2,0,3,3881,2022,66,FALSE,premium,Wood
Velimir Ivic,2581,Serbia,180,2016,2023,2431,2431,2022,22,6,15,2918,2988,2022,2114,359,1542,2964,3057,2020,2399,292,1993,3718,2023,70,FALSE,premium,Silver
Sergey Grigoriants,2580,Hungary,1677,2016,2023,2344,2696,2020,6,1,4,2909,2990,2020,2305,1028,2267,2712,2731,2017,175,30,163,3393,2020,69,FALSE,premium,Crystal
NoÃ«l Studer,2579,Switzerland,115,2017,2023,2433,2531,2020,15,1,9,2624,2774,2021,1759,296,1668,2603,2700,2020,92,13,74,2307,2021,44,FALSE,premium,Silver
GM Merab Gagunashvili,2578,Georgia,22,2018,2023,2467,2655,2021,24,2,11,2751,2800,2022,346,116,265,2543,2549,2019,240,48,261,2854,2021,42,FALSE,premium,Silver
Pawel Czarnota,2577,Poland,889,2010,2023,2502,2502,2020,2,0,0,2898,2931,2022,222,46,140,2730,2730,2021,170,27,105,3795,2023,60,FALSE,premium,Stone
Bardiya Daneshvar,2577,Iran,132,2019,2023,2504,2595,2021,24,11,8,2938,3037,2023,379,78,203,2855,2882,2023,147,20,103,3639,2023,60,FALSE,premium,Elite
Alexey Korotylev,2575,Russia,126,2016,2023,2048,2048,2021,3,0,0,2897,2948,2020,1110,170,574,2560,2821,2021,2860,101,319,2574,2020,43,FALSE,premium,Crystal
Semen Khanin,2575,United States,214,2016,2023,2464,2748,2020,66,16,28,2867,2960,2022,4809,1175,4498,2652,2698,2020,44,1,24,3676,2022,69,FALSE,premium,Elite
Oliver Barbosa,2575,United States,490,2010,2023,2368,2811,2021,97,38,15,2758,2937,2020,338,82,161,2754,3009,2011,650,42,334,3401,2023,51,FALSE,premium,Silver
Kirill Stupak,2575,Belarus,94,2018,2023,2561,2561,2022,74,23,12,2832,2946,2020,965,193,794,2871,2928,2020,556,72,503,400,2022,48,FALSE,premium,Silver
Guillermo Vazquez,2575,Paraguay,349,2016,2023,2581,2661,2020,43,20,14,2976,3030,2020,2804,715,1771,2907,2975,2020,806,127,485,4529,2019,93,FALSE,premium,Bronze
Nico Georgiadis,2575,Switzerland,159,2018,2023,2544,2618,2020,1,4,0,2687,2901,2018,1121,239,839,2691,2691,2020,71,4,38,3323,2022,49,FALSE,premium,Crystal
Carlos Daniel Albornoz Cabrera,2573,Cuba,120,2018,2023,2494,2558,2020,33,22,13,2754,2945,2021,502,102,276,2800,2811,2021,245,34,128,3392,2019,45,FALSE,premium,Silver
Klementy Sychev,2572,Russia,281,2017,2023,2539,2743,2020,55,26,49,2853,2948,2022,909,172,519,2853,2853,2022,46,6,22,2880,2020,73,FALSE,premium,Crystal
Yuri Vovk,2571,Ukraine,825,2007,2023,2254,2254,2022,1,1,0,2802,2883,2023,2336,380,1844,2542,2655,2014,369,32,248,2754,2014,41,FALSE,premium,Silver
Emilio Cordova,2571,Peru,617,2017,2023,2458,2609,2019,18,4,9,2872,2983,2021,1299,274,1146,2756,2879,2021,54,6,31,1303,2019,57,FALSE,premium,Silver
Sune Berg Hansen,2570,Denmark,309,2018,2023,2517,2542,2020,16,10,7,2742,2797,2023,4741,802,3226,2467,2686,2020,149,15,88,3068,2021,40,FALSE,premium,Legend
Rogelio Barcenilla,2570,Philippines,566,2010,2023,2302,2460,2020,124,42,49,2914,2983,2022,583,91,279,2960,3022,2022,5408,417,3716,3573,2023,38,FALSE,premium,Silver
JosÃ© Carlos Ibarra Jerez,2569,Spain,3055,2013,2023,2539,2791,2022,89,42,53,2942,2975,2023,3099,539,1258,2827,3035,2023,2639,254,1422,3323,2023,69,TRUE,premium,Legend
Krasimir Rusev,2569,International,1519,2013,2023,2419,2635,2020,54,3,7,2710,2792,2021,2915,407,2210,2701,2841,2022,7132,821,5858,2363,2016,45,FALSE,premium,Silver
Tomas Laurusas,2567,Lithuania,634,2013,2023,2444,2478,2021,87,7,43,2799,2911,2021,5984,943,4261,2760,2979,2021,4505,521,2964,3814,2022,50,FALSE,premium,Elite
Vitaly Kunin,2566,Germany,123,2016,2023,2006,2006,2021,1,0,0,2579,2655,2019,186,36,126,2395,2609,2016,62,10,54,2000,2019,43,FALSE,premium,Bronze
Dmitry Kryakvin,2566,Tanzania,99,2013,2023,2490,2589,2019,10,13,2,2724,2800,2021,575,236,287,2249,2249,2020,6,0,1,2463,2019,59,FALSE,premium,Silver
Robert Fontaine,2565,Switzerland,300,2013,2023,2558,2558,2018,3,0,0,2621,2790,2020,3901,644,2809,2562,2690,2023,292,25,126,1557,2022,45,FALSE,premium,Silver
Gukesh D,2563,India,1353,2017,2023,2729,2853,2023,34,18,15,3059,3059,2023,1876,265,1410,3117,3193,2023,795,84,713,3158,2021,79,FALSE,premium,Bronze
Neuris Delgado Ramirez,2563,Paraguay,585,2013,2023,2534,2670,2020,49,18,13,2663,2829,2020,194,26,89,2722,2751,2023,75,9,58,3127,2023,43,FALSE,premium,Bronze
Iniyan P,2562,India,213,2018,2023,2570,2622,2023,27,24,27,2805,2902,2020,1351,283,1032,2806,2865,2022,3322,403,2655,3812,2023,68,FALSE,premium,Crystal
Szymon Gumularz,2562,Poland,181,2020,2023,2442,2586,2020,5,3,2,2853,3002,2022,4968,1252,3368,2770,2946,2021,1000,147,643,3382,2022,51,FALSE,premium,Champion
Peter Michalik,2560,Czech Republic,576,2017,2023,2667,2869,2023,9,14,4,3000,3049,2023,5293,1652,4992,2876,2966,2020,1234,249,1135,2226,2020,48,FALSE,premium,Champion
Melikset Khachiyan,2560,United States,2465,2009,2023,2588,2588,2022,9,2,2,2698,2792,2023,7357,1839,7038,2577,2577,2023,3913,451,2657,3673,2023,78,FALSE,premium,Elite
Krikor Sevag Mekhitarian,2560,Brazil,24624,2008,2023,2557,2630,2022,186,37,79,2783,2974,2020,11846,2093,5772,2785,2888,2020,4418,316,1703,3780,2023,85,TRUE,staff,Legend
Dmitry Gordievsky,2559,Argentina,365,2016,2023,2478,2542,2022,35,8,19,2909,2989,2023,1551,293,1093,2908,2940,2023,974,137,838,3237,2016,47,FALSE,premium,Silver
Minh Tran Tuan,2558,Vietnam,415,2017,2023,2406,2560,2020,24,1,6,2841,2929,2020,1082,162,748,3003,3079,2021,1299,153,1262,3270,2022,42,FALSE,premium,Elite
Leon Luke Mendonca,2558,Dominican Republic,107,2014,2023,2567,2596,2023,10,9,6,2745,2853,2023,1317,285,921,2775,2775,2023,667,39,382,3256,2023,64,FALSE,premium,Crystal
Martin Petrov,2556,Bulgaria,66,2020,2023,2301,2552,2020,22,8,15,2712,2726,2020,297,44,245,2507,2507,2022,45,3,31,3417,2023,69,FALSE,premium,Crystal
Kateryna Lagno,2556,Russia,430,2018,2023,2395,2463,2020,9,11,10,2901,2901,2023,567,143,300,2704,2722,2022,68,27,41,3710,2022,52,FALSE,premium,Silver
Anuar Ismagambetov,2556,Kazakhstan,288,2017,2023,2589,2646,2020,22,5,3,2758,2872,2020,685,106,356,2766,2622,2020,133,6,56,4038,2018,50,FALSE,premium,Wood
Josh Friedel,2555,United States,128,2009,2023,2105,2512,2020,1,0,1,2720,2720,2021,304,42,181,2662,2692,2021,412,38,303,3470,2020,75,FALSE,premium,Wood
Ben Finegold,2555,United States,16870,2017,2023,2316,2516,2020,36,4,2,2750,2830,2022,7128,410,1571,2543,2793,2017,5429,254,1303,3603,2022,51,TRUE,premium,Champion
Srinath Narayanan,2553,India,1164,2017,2023,2551,2865,2020,25,17,20,2888,3132,2019,1778,335,1171,2929,3018,2019,2362,322,2332,2206,2019,61,FALSE,premium,Crystal
Diptayan Ghosh,2553,India,172,2014,2023,2556,2842,2019,25,19,22,2897,2945,2020,1042,312,698,2839,2898,2020,456,37,307,1794,2019,42,FALSE,premium,Bronze
Nikita Petrov,2552,Montenegro,174,2016,2023,2542,2655,2023,55,6,2,2993,2993,2023,1034,212,546,2960,2980,2022,925,122,507,3775,2023,75,FALSE,premium,Silver
